folder_name,image_prompt,dzine_prompt
classic-traditional,"A highly detailed Renaissance-style portrait of a noblewoman, soft lighting, realistic textures, intricate clothing with lace and embroidery, warm earthy color palette, background with classical architecture.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a highly detailed renaissance-style portrait of a noblewoman to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the background with classical architecture.."
classic-traditional,"A colorful impressionist landscape of a garden at sunrise, visible brush strokes, soft focus, light playing on flowers and trees, pastel hues with pinks, greens, and blues, vibrant and airy atmosphere.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a colorful impressionist landscape of a garden at sunrise to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the vibrant and airy atmosphere.."
classic-traditional,"Abstract cubist painting of a musician playing guitar, fragmented geometric shapes, multiple perspectives, muted earth tones mixed with bright accents, sharp angular lines, layered composition.","Animate the scene by adding subtle movement that reinforces the original image concept: bring abstract cubist painting of a musician playing guitar to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the layered composition.."
classic-traditional,"A dreamlike surrealist scene with floating clocks, melting objects, and distorted landscapes, vivid colors with deep shadows, bizarre and fantastical imagery, inspired by Salvador Dalí.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a dreamlike surrealist scene with floating clocks to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the inspired by Salvador Dalí.."
classic-traditional,"A pointillism style portrait of a woman, composed of thousands of tiny colored dots, vibrant color dots blending to form realistic shading, detailed facial features, soft and textured appearance.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a pointillism style portrait of a woman to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the soft and textured appearance.."
classic-traditional,"A dramatic Baroque painting of a battle scene, strong contrasts of light and shadow (chiaroscuro), rich textures, muscular figures in dynamic poses, deep reds and golds, intense emotional expressions.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a dramatic baroque painting of a battle scene to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the intense emotional expressions.."
classic-traditional,"An elegant Art Nouveau poster featuring a woman with flowing hair surrounded by stylized flowers and vines, organic lines, pastel colors with gold accents, decorative borders, graceful curves.","Animate the scene by adding subtle movement that reinforces the original image concept: bring an elegant art nouveau poster featuring a woman with flowing hair surrounded by stylized flowers and vines to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the graceful curves.."
classic-traditional,"A bold expressionist portrait with exaggerated facial features, intense emotional colors like reds, blues, and blacks, rough brush strokes, abstracted forms conveying inner turmoil.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a bold expressionist portrait with exaggerated facial features to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the abstracted forms conveying inner turmoil.."
classic-traditional,"A Fauvist landscape with wild, unnatural colors like bright orange, purple, and green, simplified shapes, thick paint textures, joyful and vibrant mood, inspired by Henri Matisse.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a fauvist landscape with wild to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the inspired by Henri Matisse.."
classic-traditional,"A bright pop art style comic panel featuring a superhero, thick black outlines, halftone dots, primary colors (red, yellow, blue), speech bubble with bold text, playful and graphic.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a bright pop art style comic panel featuring a superhero to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the playful and graphic.."
digital-modern,"A pixel art scene of a fantasy village at sunset, small square pixels, limited color palette with warm tones, blocky characters and buildings, retro video game style.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a pixel art scene of a fantasy village at sunset to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the retro video game style.."
digital-modern,"A low poly 3D style landscape with geometric mountains and trees, sharp edges, flat color shading in pastel tones, minimalist and clean design.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a low poly 3d style landscape with geometric mountains and trees to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the minimalist and clean design.."
digital-modern,"A vaporwave aesthetic image with neon pink and blue gradients, 80s computer graphics, retro grid lines, palm trees, and Japanese characters, nostalgic and surreal vibe.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a vaporwave aesthetic image with neon pink and blue gradients to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the nostalgic and surreal vibe.."
digital-modern,"A glitch art portrait with digital distortion, pixelation, color shifts, horizontal scan lines, broken pixels, fragmented image composition, futuristic and chaotic.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a glitch art portrait with digital distortion to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the futuristic and chaotic.."
digital-modern,"A synthwave cityscape at night with neon lights, purple and pink color scheme, retro futuristic cars, glowing horizon, 80s retro style with glowing grid floor.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a synthwave cityscape at night with neon lights to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the 80s retro style with glowing grid floor.."
digital-modern,"A cyberpunk street scene, rainy night, neon signs in Japanese, futuristic skyscrapers, characters with cybernetic implants, dark color palette with bright neon highlights.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a cyberpunk street scene to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the dark color palette with bright neon highlights.."
digital-modern,"A clean vector art illustration of a tropical bird, bold flat colors, sharp geometric shapes, minimal shading, crisp outlines, modern graphic style.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a clean vector art illustration of a tropical bird to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the modern graphic style.."
digital-modern,"A flat design infographic style image showing a healthy lifestyle, simple icons, bright and cheerful colors, clean lines, and easy-to-read layout.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a flat design infographic style image showing a healthy lifestyle to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the and easy-to-read layout.."
digital-modern,"A minimalist poster with a single red circle on white background, clean typography, lots of negative space, simple and elegant composition.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a minimalist poster with a single red circle on white background to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the simple and elegant composition.."
digital-modern,"An isometric cityscape illustration with detailed buildings, roads, and cars, bright color palette, 3D perspective without distortion, clean and organized.","Animate the scene by adding subtle movement that reinforces the original image concept: bring an isometric cityscape illustration with detailed buildings to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the clean and organized.."
fantasy-scifi,"A steampunk airship floating over a Victorian city, brass gears, steam pipes, leather and metal textures, warm sepia tones, intricate mechanical details.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a steampunk airship floating over a victorian city to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the intricate mechanical details.."
fantasy-scifi,"A hyper-realistic fantasy warrior in detailed armor, glowing sword, mystical forest background, dramatic lighting, rich textures, heroic pose.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a hyper-realistic fantasy warrior in detailed armor to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the heroic pose.."
fantasy-scifi,"A vibrant anime style portrait of a young girl with big sparkling eyes, colorful hair, detailed school uniform, soft shading, clean line art.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a vibrant anime style portrait of a young girl with big sparkling eyes to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the clean line art.."
fantasy-scifi,"A black and white manga panel featuring a dramatic close-up of a protagonist’s face, bold linework, speed lines for motion, expressive eyes, speech bubble with Japanese text.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a black and white manga panel featuring a dramatic close-up of a protagonist’s face to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the speech bubble with Japanese text.."
fantasy-scifi,"A futuristic alien landscape concept art, vast mountains with strange flora, glowing skies, detailed texture work, atmospheric lighting, sci-fi mood.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a futuristic alien landscape concept art to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the sci-fi mood.."
fantasy-scifi,"A giant mecha robot standing in a ruined city, detailed mechanical parts, metallic surfaces, dramatic sunset lighting, heroic and imposing stance.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a giant mecha robot standing in a ruined city to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the heroic and imposing stance.."
fantasy-scifi,"A cosmic scene with colorful nebulas, swirling galaxies, distant planets, stars shining brightly, vast depth and vibrant colors.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a cosmic scene with colorful nebulas to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the vast depth and vibrant colors.."
fantasy-scifi,"A photorealistic digital matte painting of a fantasy castle on a cliff, detailed textures, misty atmosphere, soft lighting, cinematic composition.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a photorealistic digital matte painting of a fantasy castle on a cliff to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the cinematic composition.."
fantasy-scifi,"A cel-shaded cartoon style image of a superhero flying over a city, bold shadows, flat colors with sharp edges, clean outlines.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a cel-shaded cartoon style image of a superhero flying over a city to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the clean outlines.."
fantasy-scifi,"A dark gothic cathedral interior, high vaulted ceilings, stained glass windows casting colored light, shadowy figures, moody and mysterious atmosphere.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a dark gothic cathedral interior to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the moody and mysterious atmosphere.."
experimental-abstract,"An abstract expressionist painting with chaotic brush strokes, splatters of red, black, and white paint, emotional intensity, textured layers.","Animate the scene by adding subtle movement that reinforces the original image concept: bring an abstract expressionist painting with chaotic brush strokes to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the textured layers.."
experimental-abstract,"A Dadaist collage with torn newspaper clippings, random objects, absurd juxtapositions, black and white with splashes of color, provocative and experimental.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a dadaist collage with torn newspaper clippings to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the provocative and experimental.."
experimental-abstract,"A dynamic kinetic art sculpture made of metal rods and spheres, captured in motion, blurred edges to suggest movement, modern and abstract.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a dynamic kinetic art sculpture made of metal rods and spheres to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the modern and abstract.."
experimental-abstract,"An optical illusion artwork with black and white repeating patterns, swirling lines creating a sense of movement and depth, hypnotic visual effect.","Animate the scene by adding subtle movement that reinforces the original image concept: bring an optical illusion artwork with black and white repeating patterns to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the hypnotic visual effect.."
experimental-abstract,"A psychedelic poster with swirling bright colors, fractal patterns, mushrooms, and cosmic imagery, vibrant and mind-bending.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a psychedelic poster with swirling bright colors to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the vibrant and mind-bending.."
experimental-abstract,"A vaporwave remix style image combining glitch art, retro computer UI, and surreal tropical elements, neon pinks and blues, nostalgic and futuristic.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a vaporwave remix style image combining glitch art to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the nostalgic and futuristic.."
experimental-abstract,"A generative art piece with algorithmic fractal patterns, repeating geometric shapes in a gradient of blues and purples, modern digital aesthetic.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a generative art piece with algorithmic fractal patterns to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the modern digital aesthetic.."
experimental-abstract,"A mixed media collage featuring vintage photos, floral patterns, torn paper textures, and handwritten text, layered and textured.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a mixed media collage featuring vintage photos to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the layered and textured.."
experimental-abstract,"A colorful fractal design with intricate repeating patterns, glowing edges, complex geometry, radiant blues and purples.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a colorful fractal design with intricate repeating patterns to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the radiant blues and purples.."
experimental-abstract,"An abstract noise art image with grainy textures, static interference patterns, monochrome with subtle color shifts, glitchy and experimental.","Animate the scene by adding subtle movement that reinforces the original image concept: bring an abstract noise art image with grainy textures to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the glitchy and experimental.."
cultural-historical,"A traditional Ukiyo-e style print depicting a serene Japanese landscape with Mount Fuji, flowing water, and cherry blossoms, soft muted colors, bold outlines.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a traditional ukiyo-e style print depicting a serene japanese landscape with mount fuji to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the bold outlines.."
cultural-historical,"A vibrant African tribal mask with geometric patterns, bright reds, yellows, and blacks, intricate beadwork textures, symbolic and cultural.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a vibrant african tribal mask with geometric patterns to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the symbolic and cultural.."
cultural-historical,"An Aztec-style stone carving with detailed glyphs, sun motifs, and warrior figures, earthy stone textures and warm terracotta colors.","Animate the scene by adding subtle movement that reinforces the original image concept: bring an aztec-style stone carving with detailed glyphs to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the earthy stone textures and warm terracotta colors.."
cultural-historical,"A Byzantine mosaic of a saint, made of small colored tiles, gold background, detailed facial features with a solemn expression, religious iconography.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a byzantine mosaic of a saint to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the religious iconography.."
cultural-historical,"An Aboriginal dot painting depicting animals and nature stories, composed of colorful dots in patterns of red, yellow, white, and black, traditional style.","Animate the scene by adding subtle movement that reinforces the original image concept: bring an aboriginal dot painting depicting animals and nature stories to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the traditional style.."
cultural-historical,"A detailed Celtic knot pattern with intertwining loops and spirals, gold and green color palette, medieval ornamental style.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a detailed celtic knot pattern with intertwining loops and spirals to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the medieval ornamental style.."
cultural-historical,"A Native American style totem pole carved with animal figures, vibrant earthy colors, detailed wood texture, cultural symbolism.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a native american style totem pole carved with animal figures to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the cultural symbolism.."
cultural-historical,"An intricate Islamic geometric tile pattern with repeating stars and polygons, blue and white colors, symmetrical and highly detailed.","Animate the scene by adding subtle movement that reinforces the original image concept: bring an intricate islamic geometric tile pattern with repeating stars and polygons to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the symmetrical and highly detailed.."
cultural-historical,"A Renaissance fresco painting on a cathedral ceiling showing angels and clouds, muted pastel colors, soft brushwork, grand and sacred atmosphere.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a renaissance fresco painting on a cathedral ceiling showing angels and clouds to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the grand and sacred atmosphere.."
cultural-historical,"A medieval illuminated manuscript page with elaborate gold leaf decorations, ornate initials, and hand-drawn floral borders, rich colors on parchment.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a medieval illuminated manuscript page with elaborate gold leaf decorations to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the rich colors on parchment.."
